[2024-08-29 18:33:26] [DEBUG   ] asyncio: Using proactor: IocpProactor
[2024-08-29 18:33:26] [INFO    ] discord.client: logging in using static token
[2024-08-29 18:33:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-08-29 18:33:27] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-08-29 18:33:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1278489947199897600', 'username': 'JhonnDoe', 'avatar': '69cf5efb4216ce9ae9f50dcca587c05b', 'discriminator': '8984', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-08-29 18:33:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-08-29 18:33:28] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-08-29 18:33:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1278489947199897600', 'name': 'JhonnDoe', 'icon': '69cf5efb4216ce9ae9f50dcca587c05b', 'description': '', 'type': None, 'bot': {'id': '1278489947199897600', 'username': 'JhonnDoe', 'avatar': '69cf5efb4216ce9ae9f50dcca587c05b', 'discriminator': '8984', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'a15f930cd8849f3d7f5e62eb411e2c465821bd27ce3fd876f8d4877c4429a593', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '896498841472340068', 'username': 'cr1s_tobal_', 'avatar': '145b357498a260d5a165fb99d2bd68e1', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 921102, 'global_name': '♥☘Capitan_teemo♣♦', 'avatar_decoration_data': None, 'banner_color': '#0e0e0e', 'clan': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-08-29 18:33:28] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-08-29 18:33:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-jkx4",{"micros":0.0}]']}}
[2024-08-29 18:33:28] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-08-29 18:33:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-08-29 18:33:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'JhonnDoe', 'mfa_enabled': False, 'id': '1278489947199897600', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8984', 'clan': None, 'bot': True, 'avatar': '69cf5efb4216ce9ae9f50dcca587c05b'}, 'session_type': 'normal', 'session_id': 'c96b59a2534709c6746b66821bdbe47a', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1278490475707367546'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santiago', 'buenos-aires', 'brazil', 'atlanta', 'us-south'], 'auth': {}, 'application': {'id': '1278489947199897600', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-jkx4",{"micros":38074,"calls":["id_created",{"micros":1357,"calls":[]},"session_lookup_time",{"micros":333,"calls":[]},"session_lookup_finished",{"micros":26,"calls":[]},"discord-sessions-prd-1-203",{"micros":35980,"calls":["start_session",{"micros":29090,"calls":["discord-api-rpc-55b99f6d65-5l5pm",{"micros":26269,"calls":["get_user",{"micros":4713},"get_guilds",{"micros":2079},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":0},"authorized_ip_coro",{"micros":9}]}]},"starting_guild_connect",{"micros":91,"calls":[]},"presence_started",{"micros":806,"calls":[]},"guilds_started",{"micros":76,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":5861,"calls":[]},"connect_finished",{"micros":5865,"calls":[]},"build_ready",{"micros":45,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2024-08-29 18:33:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-08-29 18:33:29] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c96b59a2534709c6746b66821bdbe47a).
[2024-08-29 18:33:29] [DEBUG   ] discord.client: Dispatching event connect
[2024-08-29 18:33:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'clan': None, 'max_stage_video_channel_users': 50, 'safety_alerts_channel_id': None, 'owner_id': '896498841472340068', 'features': [], 'premium_progress_bar_enabled': False, 'voice_states': [], 'latest_onboarding_question_id': None, 'large': False, 'mfa_level': 0, 'region': 'deprecated', 'channels': [{'version': 1724886282647, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de texto', 'id': '1278490475707367547', 'flags': 0}, {'version': 1724886282649, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de voz', 'id': '1278490475707367548', 'flags': 0}, {'version': 1724886282657, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1278490475707367547', 'name': 'general', 'last_message_id': '1278775183527641203', 'id': '1278490475707367549', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1724886282661, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1278490475707367548', 'name': 'General', 'last_message_id': None, 'id': '1278490475707367550', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1724969047270, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1278490475707367547', 'nsfw': False, 'name': 'a', 'last_message_id': None, 'id': '1278837615780565093', 'flags': 0}, {'version': 1724969048344, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1278490475707367547', 'nsfw': False, 'name': 'a', 'last_message_id': '1278840889770512385', 'id': '1278837620108955791', 'flags': 0}], 'rules_channel_id': None, 'icon': None, 'id': '1278490475707367546', 'hub_type': None, 'max_video_channel_users': 25, 'banner': None, 'name': 'El servidor de ♥☘Capitan_teemo♣♦', 'preferred_locale': 'en-US', 'system_channel_id': '1278490475707367549', 'inventory_settings': None, 'embedded_activities': [], 'public_updates_channel_id': None, 'stickers': [], 'max_members': 500000, 'soundboard_sounds': [], 'threads': [], 'roles': [{'version': 1724886282644, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1278490475707367546', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1724886399327, 'unicode_emoji': None, 'tags': {'bot_id': '1278489947199897600'}, 'position': 1, 'permissions': '8', 'name': 'JhonnDoe', 'mentionable': False, 'managed': True, 'id': '1278490964951826616', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'members': [{'user': {'username': 'JhonnDoe', 'public_flags': 0, 'id': '1278489947199897600', 'global_name': None, 'display_name': None, 'discriminator': '8984', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '69cf5efb4216ce9ae9f50dcca587c05b'}, 'roles': ['1278490964951826616'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-08-28T23:06:39.335000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'unavailable': False, 'incidents_data': None, 'description': None, 'emojis': [], 'premium_subscription_count': 0, 'stage_instances': [], 'application_command_counts': {}, 'explicit_content_filter': 0, 'application_id': None, 'afk_timeout': 300, 'nsfw': False, 'default_message_notifications': 0, 'splash': None, 'presences': [], 'vanity_url_code': None, 'nsfw_level': 0, 'activity_instances': [], 'system_channel_flags': 0, 'member_count': 2, 'afk_channel_id': None, 'joined_at': '2024-08-28T23:06:39.335000+00:00', 'lazy': True, 'version': 1724886282668, 'guild_scheduled_events': [], 'discovery_splash': None, 'home_header': None, 'verification_level': 0, 'premium_tier': 0}}
